Model,Type,Bits,Depth,Accuracy,F1_Score,Precision,Recall,Inference_Time_s
Logistic Regression,Clear_Optimized,,,0.7680652680652681,0.2134387351778656,0.12796208530805686,0.6428571428571429,0.014129161834716797
SVM (Linear),Clear_Optimized,,,0.7785547785547785,0.21487603305785125,0.13,0.6190476190476191,0.00015783309936523438
Decision Tree,Clear_Optimized,,4,0.7027972027972028,0.205607476635514,0.11827956989247312,0.7857142857142857,0.00011277198791503906
Decision Tree,Clear_Optimized,,5,0.8939393939393939,0.2601626016260163,0.19753086419753085,0.38095238095238093,0.0002110004425048828
Decision Tree,Clear_Optimized,,6,0.8589743589743589,0.26666666666666666,0.17886178861788618,0.5238095238095238,0.00047206878662109375
Decision Tree,Clear_Optimized,,7,0.8951048951048951,0.21052631578947367,0.16666666666666666,0.2857142857142857,0.0003592967987060547
Decision Tree,Clear_Optimized,,8,0.8869463869463869,0.19834710743801653,0.1518987341772152,0.2857142857142857,0.00022912025451660156
Decision Tree,Clear_Optimized,,9,0.8846153846153846,0.24427480916030533,0.1797752808988764,0.38095238095238093,0.00031495094299316406
Decision Tree,Clear_Optimized,,10,0.8986013986013986,0.2018348623853211,0.16417910447761194,0.2619047619047619,0.0001862049102783203
Random Forest,Clear_Optimized,,4,0.8578088578088578,0.2988505747126437,0.19696969696969696,0.6190476190476191,0.0059719085693359375
Random Forest,Clear_Optimized,,5,0.8892773892773893,0.3448275862068966,0.24271844660194175,0.5952380952380952,0.0035538673400878906
Random Forest,Clear_Optimized,,6,0.9067599067599068,0.36507936507936506,0.27380952380952384,0.5476190476190477,0.004037141799926758
Random Forest,Clear_Optimized,,7,0.9172494172494172,0.3238095238095238,0.2698412698412698,0.40476190476190477,0.004321098327636719
Random Forest,Clear_Optimized,,8,0.9172494172494172,0.3106796116504854,0.26229508196721313,0.38095238095238093,0.008057117462158203
Random Forest,Clear_Optimized,,9,0.9277389277389277,0.32608695652173914,0.3,0.35714285714285715,0.005402088165283203
Random Forest,Clear_Optimized,,10,0.9312354312354313,0.3516483516483517,0.32653061224489793,0.38095238095238093,0.00491786003112793
XGBoost,Clear_Optimized,,4,0.9335664335664335,0.3132530120481928,0.3170731707317073,0.30952380952380953,0.0011529922485351562
XGBoost,Clear_Optimized,,5,0.9440559440559441,0.35135135135135137,0.40625,0.30952380952380953,0.0026748180389404297
XGBoost,Clear_Optimized,,6,0.9428904428904429,0.30985915492957744,0.3793103448275862,0.2619047619047619,0.001538991928100586
XGBoost,Clear_Optimized,,7,0.9487179487179487,0.37142857142857144,0.4642857142857143,0.30952380952380953,0.00541996955871582
XGBoost,Clear_Optimized,,8,0.9498834498834499,0.3582089552238806,0.48,0.2857142857142857,0.001585245132446289
XGBoost,Clear_Optimized,,9,0.9428904428904429,0.30985915492957744,0.3793103448275862,0.2619047619047619,0.0017237663269042969
XGBoost,Clear_Optimized,,10,0.9452214452214452,0.3380281690140845,0.41379310344827586,0.2857142857142857,0.003673076629638672
Logistic Regression,Clear_Optimized,,,0.7680652680652681,0.2134387351778656,0.12796208530805686,0.6428571428571429,0.01240992546081543
SVM (Linear),Clear_Optimized,,,0.7785547785547785,0.21487603305785125,0.13,0.6190476190476191,0.0032160282135009766
Decision Tree,Clear_Optimized,,4,0.7027972027972028,0.205607476635514,0.11827956989247312,0.7857142857142857,0.00061798095703125
Decision Tree,Clear_Optimized,,5,0.8939393939393939,0.2601626016260163,0.19753086419753085,0.38095238095238093,0.0001919269561767578
Decision Tree,Clear_Optimized,,6,0.8589743589743589,0.26666666666666666,0.17886178861788618,0.5238095238095238,0.00029277801513671875
Decision Tree,Clear_Optimized,,7,0.8951048951048951,0.21052631578947367,0.16666666666666666,0.2857142857142857,0.0002319812774658203
Decision Tree,Clear_Optimized,,8,0.8892773892773893,0.21487603305785125,0.16455696202531644,0.30952380952380953,0.00027489662170410156
Decision Tree,Clear_Optimized,,9,0.8834498834498834,0.23076923076923078,0.17045454545454544,0.35714285714285715,0.0001919269561767578
Decision Tree,Clear_Optimized,,10,0.8986013986013986,0.21621621621621623,0.17391304347826086,0.2857142857142857,0.0002219676971435547
Random Forest,Clear_Optimized,,4,0.8636363636363636,0.2822085889570552,0.19008264462809918,0.5476190476190477,0.0030679702758789062
Random Forest,Clear_Optimized,,5,0.8916083916083916,0.32116788321167883,0.23157894736842105,0.5238095238095238,0.0036230087280273438
Random Forest,Clear_Optimized,,6,0.9055944055944056,0.34146341463414637,0.25925925925925924,0.5,0.005571842193603516
Random Forest,Clear_Optimized,,7,0.9137529137529138,0.3620689655172414,0.28378378378378377,0.5,0.00428318977355957
Random Forest,Clear_Optimized,,8,0.9184149184149184,0.3,0.25862068965517243,0.35714285714285715,0.008924007415771484
Random Forest,Clear_Optimized,,9,0.9300699300699301,0.3181818181818182,0.30434782608695654,0.3333333333333333,0.005079984664916992
Random Forest,Clear_Optimized,,10,0.9254079254079254,0.30434782608695654,0.28,0.3333333333333333,0.005182981491088867
XGBoost,Clear_Optimized,,4,0.9335664335664335,0.3132530120481928,0.3170731707317073,0.30952380952380953,0.0011339187622070312
XGBoost,Clear_Optimized,,5,0.9440559440559441,0.35135135135135137,0.40625,0.30952380952380953,0.0015239715576171875
XGBoost,Clear_Optimized,,6,0.9428904428904429,0.30985915492957744,0.3793103448275862,0.2619047619047619,0.0015003681182861328
XGBoost,Clear_Optimized,,7,0.9487179487179487,0.37142857142857144,0.4642857142857143,0.30952380952380953,0.0018808841705322266
XGBoost,Clear_Optimized,,8,0.9498834498834499,0.3582089552238806,0.48,0.2857142857142857,0.039227962493896484
XGBoost,Clear_Optimized,,9,0.9428904428904429,0.30985915492957744,0.3793103448275862,0.2619047619047619,0.004626035690307617
XGBoost,Clear_Optimized,,10,0.9452214452214452,0.3380281690140845,0.41379310344827586,0.2857142857142857,0.0034399032592773438
Logistic Regression,Clear_Optimized,,,0.7680652680652681,0.2134387351778656,0.12796208530805686,0.6428571428571429,0.00013685226440429688
SVM (Linear),Clear_Optimized,,,0.7785547785547785,0.21487603305785125,0.13,0.6190476190476191,0.0038118362426757812
Decision Tree,Clear_Optimized,,4,0.7027972027972028,0.205607476635514,0.11827956989247312,0.7857142857142857,0.00010824203491210938
Decision Tree,Clear_Optimized,,5,0.8939393939393939,0.2601626016260163,0.19753086419753085,0.38095238095238093,8.106231689453125e-05
Decision Tree,Clear_Optimized,,6,0.8601398601398601,0.2682926829268293,0.18032786885245902,0.5238095238095238,0.00030422210693359375
Decision Tree,Clear_Optimized,,7,0.8951048951048951,0.21052631578947367,0.16666666666666666,0.2857142857142857,0.0001709461212158203
Decision Tree,Clear_Optimized,,8,0.8892773892773893,0.21487603305785125,0.16455696202531644,0.30952380952380953,9.012222290039062e-05
Decision Tree,Clear_Optimized,,9,0.8846153846153846,0.24427480916030533,0.1797752808988764,0.38095238095238093,0.00016808509826660156
Decision Tree,Clear_Optimized,,10,0.9009324009324009,0.22018348623853212,0.1791044776119403,0.2857142857142857,0.00015997886657714844
